date,total_cases,new_cases,new_death,total_death,new_recovered,total_recovered,total_active_case
2020-01-29,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0
2020-01-31,1,0,0,0,0,0,0
2020-02-01,2,1,0,0,0,0,0
2020-02-02,2,0,0,0,0,0,0
2020-02-03,2,1,0,0,0,0,0
2020-02-04,2,0,0,0,0,0,0
2020-02-05,3,1,0,0,0,0,0
2020-02-06,3,0,0,0,0,0,0
2020-02-07,3,0,0,0,0,0,0
2020-02-08,3,0,0,0,0,0,0
2020-02-09,3,0,0,0,0,0,0
2020-02-10,3,0,0,0,0,0,0
2020-02-11,3,0,0,0,0,0,0
2020-02-12,3,0,0,0,0,0,0
2020-02-13,3,0,0,0,0,0,0
2020-02-14,3,0,0,0,0,0,0
2020-02-15,3,0,0,0,0,0,0
2020-02-16,3,0,0,0,0,0,0
2020-02-17,3,0,0,0,0,0,0
2020-02-18,3,0,0,0,0,0,0
2020-02-19,3,0,0,0,0,0,0
2020-02-20,3,0,0,0,0,0,0
2020-02-21,3,0,0,0,0,0,0
2020-02-22,3,0,0,0,0,0,0
2020-02-23,3,0,0,0,0,0,0
2020-02-24,3,0,0,0,0,0,0
2020-02-25,3,0,0,0,0,0,0
2020-02-26,3,0,0,0,0,0,0
2020-02-27,3,0,0,0,0,0,0
2020-02-28,3,0,0,0,0,0,0
2020-02-29,3,0,0,0,0,0,0
2020-03-01,3,0,0,0,0,0,0
2020-03-02,3,0,0,0,0,0,0
2020-03-03,3,0,0,0,0,0,0
2020-03-04,3,0,0,0,0,0,0
2020-03-05,4,1,0,0,0,0,4
2020-03-06,6,2,0,0,0,0,6
2020-03-07,10,4,0,0,0,0,10
2020-03-08,20,10,0,0,0,0,20
2020-03-09,24,4,0,0,0,0,24
2020-03-10,33,9,0,0,0,0,33
2020-03-11,49,16,0,0,0,0,49
2020-03-12,64,12,3,0,0,0,64
2020-03-13,98,34,0,0,0,0,98
2020-03-14,111,13,2,0,0,0,111
2020-03-15,140,29,3,12,2,2,126
2020-03-16,142,2,0,12,1,3,127
2020-03-17,187,45,2,14,1,4,169
2020-03-18,202,15,3,17,3,7,178
2020-03-19,217,15,0,17,1,8,192
2020-03-20,230,13,1,18,,8,204
2020-03-21,307,77,1,19,5,13,275
2020-03-22,380,73,6,25,4,17,338
2020-03-23,462,82,8,33,1,18,411
2020-03-24,552,90,2,35,2,20,497
2020-03-25,636,84,3,38,6,26,572
2020-03-26,707,71,7,45,2,28,634
2020-03-27,803,96,9,54,3,31,718
2020-03-28,1075,272,14,68,4,35,972
2020-03-29,1418,343,3,71,7,42,"1,305"
2020-03-30,1546,128,7,78,0,42,"1,426"
2020-03-31,2084,538,10,88,7,49,"1,947"
2020-04-01,2311,227,8,96,1,50,"2,165"
2020-04-02,2633,322,11,107,1,51,"2,475"
2020-04-03,3018,385,29,136,1,52,"2,830"
2020-04-04,3094,76,8,144,5,57,"2,893"
2020-04-05,3246,152,8,152,7,64,"3,030"
2020-04-06,3660,414,11,163,9,73,"3,424"
2020-04-07,3764,104,14,177,11,84,"3,503"
2020-04-08,3870,106,5,182,12,96,"3,592"
2020-04-09,4076,206,21,203,28,124,"3,749"
2020-04-10,4195,119,18,221,16,140,"3,834"
2020-04-11,4428,223,26,247,17,157,"4,024"
2020-04-12,4648,220,50,297,40,197,"4,154"
2020-04-13,4932,284,18,315,45,242,"4,375"
2020-04-14,5223,291,20,335,53,295,"4,593"
2020-04-15,5453,230,14,349,58,353,"4,751"
2020-04-16,5660,207,13,362,82,435,"4,863"
2020-04-17,5878,218,25,387,52,487,"5,004"
2020-04-18,6087,209,10,397,29,516,"5,174"
2020-04-19,6259,172,12,409,56,572,"5,278"
2020-04-20,6459,200,19,428,41,613,"5,418"
2020-04-21,6599,140,9,437,41,654,"5,508"
2020-04-22,,,,,,,
2020-04-23,,,,,,,
2020-04-24,,,,,,,
2020-04-25,,,,,,,
2020-04-26,,,,,,,
2020-04-27,,,,,,,
2020-04-28,,,,,,,
2020-04-29,,,,,,,
2020-04-30,,,,,,,
2020-05-01,,,,,,,
2020-05-02,,,,,,,
2020-05-03,,,,,,,
2020-05-04,,,,,,,
2020-05-05,,,,,,,
2020-05-06,,,,,,,